Quadro,Min_Val,Max_Val
frame_0000.png,60827296.0,1154429440.0
frame_0001.png,60810704.0,1154423552.0
frame_0002.png,60847152.0,1154477184.0
frame_0003.png,60855728.0,1154529536.0
frame_0004.png,60856912.0,1154570752.0
frame_0005.png,60909376.0,1154756224.0
frame_0006.png,60958288.0,1154838016.0
frame_0007.png,60928192.0,1155232128.0
frame_0008.png,61003232.0,1155002752.0
frame_0009.png,60942976.0,1154928000.0
frame_0010.png,60953552.0,1155024384.0
frame_0011.png,60976080.0,1155030784.0
frame_0012.png,60989520.0,1154983168.0
frame_0013.png,61014112.0,1155091712.0
frame_0014.png,60996320.0,1155121408.0
frame_0015.png,61005008.0,1155148416.0
frame_0016.png,60997072.0,1155085568.0
frame_0017.png,61014912.0,1155153536.0
frame_0018.png,61007952.0,1155125632.0
frame_0019.png,61008992.0,1155141248.0
frame_0020.png,61034672.0,1155079040.0
frame_0021.png,61036720.0,1155106688.0
frame_0022.png,61039328.0,1154978816.0
frame_0023.png,61033104.0,1155123200.0
frame_0024.png,61041024.0,1155134464.0
frame_0025.png,61029424.0,1155136256.0
frame_0026.png,61034608.0,1155108608.0
frame_0027.png,61033408.0,1155120128.0
frame_0028.png,61055360.0,1155310976.0
frame_0029.png,61056416.0,1155601536.0
frame_0030.png,61065696.0,1155693696.0
frame_0031.png,61066416.0,1155762816.0
frame_0032.png,61049296.0,1155671808.0
frame_0033.png,61046416.0,1155690752.0
frame_0034.png,61060816.0,1155601024.0
frame_0035.png,61073360.0,1155642368.0
frame_0036.png,61076528.0,1156182016.0
frame_0037.png,61071664.0,1156154240.0
frame_0038.png,61060192.0,1156155648.0
frame_0039.png,61062800.0,1156173056.0
frame_0040.png,61092096.0,1156181888.0
frame_0041.png,61100480.0,1156099200.0
frame_0042.png,61081280.0,1156101376.0
frame_0043.png,61032496.0,1156125696.0
frame_0044.png,61031952.0,1156094208.0
frame_0045.png,61002464.0,1156174208.0
frame_0046.png,60954848.0,1155930880.0
frame_0047.png,60834736.0,1155929344.0
frame_0048.png,60747440.0,1155756288.0
frame_0049.png,60674336.0,1155840384.0
frame_0050.png,60548336.0,1142597888.0
frame_0051.png,60543088.0,1153066752.0
frame_0052.png,60534704.0,1154338432.0
frame_0053.png,60534064.0,1154829440.0
frame_0054.png,60571440.0,1154837888.0
frame_0055.png,60558368.0,1154816256.0
frame_0056.png,60531072.0,1154807424.0
frame_0057.png,60549968.0,1154900864.0
frame_0058.png,60480624.0,1155013504.0
frame_0059.png,60450944.0,1154923648.0
frame_0060.png,60534096.0,1154947840.0
frame_0061.png,60566928.0,1154747520.0
frame_0062.png,60607648.0,1154732800.0
frame_0063.png,60669952.0,1155003648.0
frame_0064.png,60751472.0,1154896128.0
frame_0065.png,60783936.0,1154995840.0
frame_0066.png,60852944.0,1154744704.0
frame_0067.png,60910944.0,1154726528.0
frame_0068.png,60980208.0,1154731008.0
frame_0069.png,60919168.0,1154711424.0
frame_0070.png,60978992.0,1154709504.0
frame_0071.png,61036448.0,1154694400.0
frame_0072.png,61055264.0,1154692608.0
frame_0073.png,61033728.0,1154697600.0
frame_0074.png,61032496.0,1154693760.0
frame_0075.png,61050144.0,1154710912.0
frame_0076.png,61055920.0,1154684288.0
frame_0077.png,61034400.0,1154706816.0
frame_0078.png,61033280.0,1154900352.0
frame_0079.png,61054704.0,1154920832.0
frame_0080.png,61009664.0,1154930304.0
frame_0081.png,61011808.0,1154830592.0
frame_0082.png,61011280.0,1155005696.0
frame_0083.png,61010032.0,1155024128.0
frame_0084.png,61060912.0,1154980224.0
frame_0085.png,61106928.0,1154990848.0
frame_0086.png,61204448.0,1155019392.0
frame_0087.png,61216128.0,1154989440.0
frame_0088.png,61318880.0,1154932480.0
frame_0089.png,61321072.0,1154943488.0
frame_0090.png,61351264.0,1154847872.0
frame_0091.png,61369536.0,1154844288.0
frame_0092.png,61382464.0,1154690304.0
frame_0093.png,61408656.0,1154906368.0
frame_0094.png,61348832.0,1154983936.0
frame_0095.png,61353824.0,1154966016.0
frame_0096.png,61385200.0,1154256128.0
frame_0097.png,61360672.0,1154275840.0
frame_0098.png,61377008.0,1154293632.0
frame_0099.png,61363680.0,1154323328.0
frame_0100.png,61399184.0,1154307712.0
frame_0101.png,61492912.0,1154382592.0
frame_0102.png,61612256.0,1154392192.0
frame_0103.png,61616096.0,1154407680.0
frame_0104.png,61703488.0,1154375808.0
frame_0105.png,61845376.0,1154364928.0
frame_0106.png,61888384.0,1154376960.0
frame_0107.png,61945168.0,1154410496.0
frame_0108.png,62042512.0,1154216832.0
frame_0109.png,62063088.0,1154201856.0
frame_0110.png,62070960.0,1154184064.0
frame_0111.png,62112256.0,1154257536.0
frame_0112.png,62130208.0,1154185472.0
frame_0113.png,62104800.0,1154213120.0
frame_0114.png,62020128.0,1154126592.0
frame_0115.png,61887584.0,1153940352.0
frame_0116.png,61623328.0,1154078848.0
frame_0117.png,61402752.0,1154214912.0
frame_0118.png,60981968.0,1154228224.0
frame_0119.png,60929024.0,1154230656.0
frame_0120.png,60819088.0,1154227200.0
frame_0121.png,60718800.0,1154254848.0
frame_0122.png,60662624.0,1154274816.0
frame_0123.png,60637392.0,1154245248.0
frame_0124.png,60707568.0,1154175744.0
frame_0125.png,60540224.0,1154223104.0
frame_0126.png,60422256.0,1154278272.0
frame_0127.png,60273968.0,1154400640.0
frame_0128.png,60006800.0,1154344192.0
frame_0129.png,59824080.0,1154302976.0
frame_0130.png,59573712.0,1154311680.0
frame_0131.png,59541968.0,1154305920.0
frame_0132.png,59390896.0,1154256896.0
frame_0133.png,59248128.0,1154258816.0
frame_0134.png,59200592.0,1154227200.0
frame_0135.png,59178608.0,1154085376.0
frame_0136.png,59079872.0,1154085760.0
frame_0137.png,59078672.0,1154088064.0
frame_0138.png,59154768.0,1154049664.0
frame_0139.png,58973488.0,1154053632.0
frame_0140.png,58906176.0,1154079744.0
frame_0141.png,58853408.0,1154061056.0
frame_0142.png,58799600.0,1154064128.0
frame_0143.png,58755520.0,1154135808.0
frame_0144.png,58792944.0,1154124544.0
frame_0145.png,58735696.0,1154183296.0
frame_0146.png,58682304.0,1154155392.0
frame_0147.png,58848496.0,1154200064.0
frame_0148.png,58896320.0,1154206976.0
frame_0149.png,58404736.0,1154408960.0
frame_0150.png,58517424.0,1154546688.0
frame_0151.png,58713984.0,1154632576.0
frame_0152.png,58745936.0,1154345344.0
frame_0153.png,58849888.0,1154326272.0
frame_0154.png,58873168.0,1154389248.0
frame_0155.png,58784448.0,1154782848.0
frame_0156.png,58879152.0,1155197824.0
frame_0157.png,58986144.0,1155633024.0
frame_0158.png,59175248.0,1156265984.0
frame_0159.png,59323392.0,1156326016.0
frame_0160.png,59488432.0,1156470400.0
frame_0161.png,59583488.0,1156870656.0
frame_0162.png,59880144.0,1156792448.0
frame_0163.png,59994496.0,1157012736.0
frame_0164.png,60333312.0,1157351680.0
frame_0165.png,60988032.0,1157606016.0
frame_0166.png,61858224.0,1158128128.0
frame_0167.png,63245616.0,1160661760.0
frame_0168.png,65538688.0,1163235840.0
frame_0169.png,66763056.0,1165306496.0
frame_0170.png,67294192.0,1166634112.0
frame_0171.png,67733904.0,1167817856.0
frame_0172.png,68028048.0,1168205568.0
frame_0173.png,68155344.0,1169379968.0
frame_0174.png,68399184.0,1157059328.0
frame_0175.png,68417456.0,1168035328.0
frame_0176.png,68399696.0,1168056448.0
frame_0177.png,68230416.0,1168177024.0
frame_0178.png,68276112.0,1168313856.0
