Quadro,Min_Val,Max_Val
frame_0000.png,137941632.0,621861312.0
frame_0001.png,137926560.0,621835456.0
frame_0002.png,137914928.0,621852352.0
frame_0003.png,137782416.0,621871744.0
frame_0004.png,137564528.0,621875328.0
frame_0005.png,137395856.0,621932480.0
frame_0006.png,137384528.0,621914880.0
frame_0007.png,137264736.0,622023104.0
frame_0008.png,137264032.0,621938560.0
frame_0009.png,137408544.0,621972416.0
frame_0010.png,137378800.0,622003968.0
frame_0011.png,137463680.0,621996672.0
frame_0012.png,137525088.0,621990720.0
frame_0013.png,137517696.0,622001152.0
frame_0014.png,137481280.0,622009024.0
frame_0015.png,137546464.0,622005696.0
frame_0016.png,137513536.0,621992768.0
frame_0017.png,137549536.0,621994944.0
frame_0018.png,137669200.0,621994240.0
frame_0019.png,137793760.0,621992192.0
frame_0020.png,137926240.0,621972608.0
frame_0021.png,138003872.0,621977984.0
frame_0022.png,137894144.0,621954432.0
frame_0023.png,137958608.0,621977600.0
frame_0024.png,137886272.0,621984576.0
frame_0025.png,137895008.0,621975936.0
frame_0026.png,137883808.0,621963264.0
frame_0027.png,137780896.0,621962112.0
frame_0028.png,137838112.0,622020928.0
frame_0029.png,137696192.0,622131392.0
frame_0030.png,137676816.0,622162432.0
frame_0031.png,137833728.0,622158848.0
frame_0032.png,137866016.0,622136576.0
frame_0033.png,137857296.0,622153856.0
frame_0034.png,137899840.0,622137152.0
frame_0035.png,137844736.0,622132992.0
frame_0036.png,137655136.0,622214720.0
frame_0037.png,137586656.0,622218752.0
frame_0038.png,137568656.0,622214016.0
frame_0039.png,137648592.0,622223808.0
frame_0040.png,137685120.0,622220672.0
frame_0041.png,137627776.0,622203392.0
frame_0042.png,137512992.0,622188992.0
frame_0043.png,137933760.0,622192192.0
frame_0044.png,138369920.0,622181888.0
frame_0045.png,139246368.0,622204480.0
frame_0046.png,140216240.0,622113472.0
frame_0047.png,141233616.0,622098560.0
frame_0048.png,142023216.0,622085120.0
frame_0049.png,142581088.0,622108160.0
frame_0050.png,143133216.0,619803648.0
frame_0051.png,143901568.0,621573888.0
frame_0052.png,144754240.0,621740544.0
frame_0053.png,145304096.0,621812288.0
frame_0054.png,146223968.0,621774208.0
frame_0055.png,147175936.0,621747968.0
frame_0056.png,148355392.0,621742592.0
frame_0057.png,149485520.0,621745792.0
frame_0058.png,150137840.0,621743872.0
frame_0059.png,151098224.0,621754688.0
frame_0060.png,152051872.0,621721472.0
frame_0061.png,153418240.0,621656192.0
frame_0062.png,154639424.0,621645440.0
frame_0063.png,155737280.0,621681152.0
frame_0064.png,157469856.0,621647552.0
frame_0065.png,158864464.0,621679808.0
frame_0066.png,159657888.0,621623424.0
frame_0067.png,160077600.0,621609536.0
frame_0068.png,160705056.0,621621440.0
frame_0069.png,161240192.0,621615360.0
frame_0070.png,161137184.0,621624832.0
frame_0071.png,161005888.0,621619200.0
frame_0072.png,160953568.0,621622592.0
frame_0073.png,160881376.0,621621632.0
frame_0074.png,160847888.0,621627968.0
frame_0075.png,160854080.0,621645248.0
frame_0076.png,160840160.0,621642432.0
frame_0077.png,160841168.0,621647168.0
frame_0078.png,160841664.0,621718208.0
frame_0079.png,160864224.0,621714048.0
frame_0080.png,160883088.0,621720832.0
frame_0081.png,160797376.0,621681984.0
frame_0082.png,160832176.0,621744064.0
frame_0083.png,160804496.0,621739520.0
frame_0084.png,160900448.0,621732224.0
frame_0085.png,160998464.0,621727680.0
frame_0086.png,161126208.0,621730304.0
frame_0087.png,161294624.0,621697920.0
