Quadro,Min_Val,Max_Val
frame_0000.png,-21515316.0,35691668.0
frame_0001.png,-21516098.0,35671160.0
frame_0002.png,-21508204.0,35676428.0
frame_0003.png,-21502382.0,35677328.0
frame_0004.png,-21511600.0,35689288.0
frame_0005.png,-21491908.0,35679336.0
frame_0006.png,-21501870.0,35699500.0
frame_0007.png,-21507696.0,35694008.0
frame_0008.png,-21502726.0,35695460.0
frame_0009.png,-21487708.0,35685304.0
frame_0010.png,-21486266.0,35684020.0
frame_0011.png,-21486806.0,35688308.0
frame_0012.png,-21475266.0,35693740.0
frame_0013.png,-21473106.0,35689688.0
frame_0014.png,-21478664.0,35690444.0
frame_0015.png,-21483932.0,35689800.0
frame_0016.png,-21484370.0,35705380.0
frame_0017.png,-21496782.0,35711072.0
frame_0018.png,-21485378.0,35717168.0
frame_0019.png,-21497758.0,35708268.0
frame_0020.png,-21503474.0,35710764.0
frame_0021.png,-21505020.0,35689384.0
frame_0022.png,-21503044.0,35678992.0
frame_0023.png,-21499862.0,35674572.0
frame_0024.png,-21500360.0,35671808.0
frame_0025.png,-21507484.0,35681696.0
frame_0026.png,-21510000.0,35686676.0
frame_0027.png,-21511204.0,35686232.0
frame_0028.png,-21508454.0,35681112.0
frame_0029.png,-21493454.0,35688676.0
frame_0030.png,-21490736.0,35689916.0
frame_0031.png,-21486760.0,35692424.0
frame_0032.png,-21501178.0,35689356.0
frame_0033.png,-21511098.0,35695204.0
frame_0034.png,-21508410.0,35705484.0
frame_0035.png,-21509002.0,35708064.0
frame_0036.png,-21510622.0,35704880.0
frame_0037.png,-21505180.0,35710508.0
frame_0038.png,-21507350.0,35706208.0
frame_0039.png,-21512776.0,35713532.0
frame_0040.png,-21511058.0,35711604.0
frame_0041.png,-21513432.0,35691724.0
frame_0042.png,-21536610.0,35697448.0
frame_0043.png,-21539050.0,35719112.0
frame_0044.png,-21536334.0,35726232.0
frame_0045.png,-21523140.0,35823448.0
frame_0046.png,-21502710.0,35952544.0
frame_0047.png,-21509300.0,36090004.0
frame_0048.png,-21526520.0,36185480.0
frame_0049.png,-21518572.0,36254060.0
frame_0050.png,-21382194.0,36052684.0
frame_0051.png,-21529884.0,36281040.0
frame_0052.png,-21554142.0,36364532.0
frame_0053.png,-21560722.0,36341624.0
frame_0054.png,-21602604.0,36233988.0
frame_0055.png,-21600962.0,36139172.0
frame_0056.png,-21579588.0,36170964.0
frame_0057.png,-21567850.0,36218136.0
frame_0058.png,-21589864.0,36288632.0
frame_0059.png,-21601888.0,36323640.0
frame_0060.png,-21598012.0,36339172.0
frame_0061.png,-21570648.0,36365668.0
frame_0062.png,-21569108.0,36303488.0
frame_0063.png,-21573254.0,36259116.0
frame_0064.png,-21589352.0,36158520.0
frame_0065.png,-21588796.0,36103712.0
frame_0066.png,-21586774.0,36022740.0
frame_0067.png,-21551162.0,36011928.0
frame_0068.png,-21583152.0,35907300.0
frame_0069.png,-21586734.0,35912104.0
frame_0070.png,-21582310.0,35923820.0
frame_0071.png,-21593472.0,35929520.0
frame_0072.png,-21606032.0,35958856.0
frame_0073.png,-21599026.0,35963344.0
frame_0074.png,-21604704.0,35954012.0
frame_0075.png,-21592168.0,35962984.0
frame_0076.png,-21590464.0,35968880.0
frame_0077.png,-21590720.0,35983120.0
frame_0078.png,-21574080.0,36001932.0
frame_0079.png,-21581722.0,35996940.0
frame_0080.png,-21581218.0,36009632.0
frame_0081.png,-21575556.0,36026412.0
frame_0082.png,-21586980.0,36032140.0
frame_0083.png,-21584140.0,36039392.0
frame_0084.png,-21598938.0,36035344.0
frame_0085.png,-21596472.0,36039852.0
frame_0086.png,-21610212.0,36050360.0
frame_0087.png,-21621878.0,36091164.0
frame_0088.png,-21619856.0,36093088.0
frame_0089.png,-21609142.0,36084784.0
frame_0090.png,-21606178.0,36083452.0
frame_0091.png,-21619496.0,36084012.0
frame_0092.png,-21616850.0,36064568.0
frame_0093.png,-21613374.0,36071784.0
frame_0094.png,-21606926.0,36064764.0
frame_0095.png,-21622404.0,36064788.0
frame_0096.png,-21646248.0,36034064.0
frame_0097.png,-21646492.0,36043400.0
frame_0098.png,-21633902.0,36048488.0
frame_0099.png,-21640924.0,36048744.0
frame_0100.png,-21633060.0,36047248.0
frame_0101.png,-21653826.0,36036368.0
frame_0102.png,-21644258.0,36036824.0
frame_0103.png,-21657246.0,36032104.0
frame_0104.png,-21647556.0,36037112.0
frame_0105.png,-21637048.0,36028316.0
frame_0106.png,-21647922.0,36013876.0
frame_0107.png,-21670696.0,36010664.0
frame_0108.png,-21668664.0,36014828.0
frame_0109.png,-21672874.0,36018800.0
frame_0110.png,-21673626.0,36018792.0
frame_0111.png,-21684592.0,36007064.0
frame_0112.png,-21693048.0,36021780.0
frame_0113.png,-21712896.0,36030508.0
